,veiculo_id,hr_ini,ping_dt,latitude_final_nr,longitude_final_nr
87773,20018,1,2023-03-17,-23.543386,-46.69991
88017,19998,1,2023-03-17,-23.554085,-46.64853
88018,19977,1,2023-03-17,-23.561262,-46.578766
88026,20006,1,2023-03-17,-23.406157,-46.47859
88047,19960,1,2023-03-17,-23.534977,-46.81428
88051,19970,1,2023-03-17,-23.581806,-46.71225
88103,19979,1,2023-03-17,-23.776863,-46.700436
88125,19997,1,2023-03-17,-23.700457,-46.77198
88136,20015,1,2023-03-17,-23.54346,-46.868015
88167,19981,1,2023-03-17,-23.750486,-46.786976
88169,19961,1,2023-03-17,-23.645472,-46.659897
88170,20025,1,2023-03-17,-23.710222,-46.640697
88197,20019,1,2023-03-17,-23.67249,-46.73857
88398,19993,1,2023-03-17,-23.57448,-46.733665
88399,20007,1,2023-03-17,-23.603527,-46.681736
88402,19963,1,2023-03-17,-23.655993,-46.663902
88624,20012,1,2023-03-17,-23.62504,-46.768566
88676,20519,1,2023-03-17,-23.42877,-46.555992
88781,20799,1,2023-03-17,-23.574642,-46.73226
88803,20468,1,2023-03-17,-23.659613,-46.695175
88805,20470,1,2023-03-17,-23.576372,-46.741123
88808,20461,1,2023-03-17,-23.620808,-46.72825
88824,20459,1,2023-03-17,-23.170317,-46.86482
88831,21000,1,2023-03-17,-23.468773,-46.70344
88944,20696,1,2023-03-17,-23.741192,-46.777836
88948,21002,1,2023-03-17,-23.74523,-46.80507
88961,19954,1,2023-03-17,-23.69441,-46.79171
89005,19948,1,2023-03-17,-23.542183,-46.879307
89006,20515,1,2023-03-17,-23.572178,-46.8036
89045,20512,1,2023-03-17,-23.60551,-46.90932
89046,19900,1,2023-03-17,-23.669664,-46.63646
89071,20487,1,2023-03-17,-23.722593,-46.797325
89080,19950,1,2023-03-17,-23.516958,-46.42847
89081,19871,1,2023-03-17,-23.574574,-46.732204
89095,20802,1,2023-03-17,-23.627092,-46.75423
89111,19912,1,2023-03-17,-23.556952,-46.50627
89191,21029,1,2023-03-17,-23.590954,-46.905716
89206,20508,1,2023-03-17,-23.454195,-46.7003
89302,19926,1,2023-03-17,-23.649693,-46.6531
89494,19955,1,2023-03-17,-23.609037,-46.724163
89691,19921,1,2023-03-17,-23.601053,-46.577187
89709,21016,1,2023-03-17,-23.690912,-46.794106
89713,21017,1,2023-03-17,-23.63634,-46.78264
89817,19917,1,2023-03-17,-23.520243,-46.74925
90597,39968,1,2023-03-16,-23.571163,-46.705482
91145,20526,1,2023-03-16,-23.621552,-46.54167
91172,19888,1,2023-03-16,-23.65775,-46.784763
91184,20801,1,2023-03-16,-23.476883,-46.677605
91335,19918,1,2023-03-16,-23.655838,-46.802456
91915,19984,1,2023-03-16,-23.384258,-46.324394
91922,19987,1,2023-03-16,-23.673647,-46.47874
92001,19991,1,2023-03-16,-23.729202,-46.78691
92003,20014,1,2023-03-16,-23.743753,-46.80053
92008,20015,1,2023-03-16,-23.543419,-46.868008
92017,20000,1,2023-03-16,-23.485603,-46.413105
92029,20016,1,2023-03-16,-23.629541,-46.674984
92265,19993,1,2023-03-16,-23.574554,-46.733585
92608,20473,1,2023-03-16,-23.671412,-46.63783
92634,20529,1,2023-03-16,-23.4997,-46.809452
92708,20475,1,2023-03-16,-23.759954,-46.684822
92733,20474,1,2023-03-16,-23.473007,-46.539135
92735,20463,1,2023-03-16,-23.675077,-46.64983
92743,20468,1,2023-03-16,-23.659628,-46.695145
92756,20450,1,2023-03-16,-23.65576,-46.781418
92759,20454,1,2023-03-16,-23.61436,-46.747604
92760,19866,1,2023-03-16,-23.501802,-46.645256
92765,21000,1,2023-03-16,-23.46889,-46.703213
92821,20009,1,2023-03-16,-23.682882,-46.74326
92895,20805,1,2023-03-16,-23.6664,-46.769787
92904,21002,1,2023-03-16,-23.745148,-46.805164
92905,20920,1,2023-03-16,-23.55787,-46.642773
92926,20344,1,2023-03-16,-23.75532,-46.65883
92929,20994,1,2023-03-16,-23.4342,-46.56152
92950,20804,1,2023-03-16,-23.565472,-46.74748
92952,20736,1,2023-03-16,-23.577122,-46.744576
92956,20800,1,2023-03-16,-23.476412,-46.76033
92969,20812,1,2023-03-16,-23.683857,-46.432
92971,20724,1,2023-03-16,-23.651068,-46.747894
92972,20814,1,2023-03-16,-23.697699,-46.77952
93030,20282,1,2023-03-16,-23.463581,-46.87821
93055,20487,1,2023-03-16,-23.722654,-46.797474
93119,20521,1,2023-03-16,-23.560951,-46.64054
93122,21011,1,2023-03-16,-23.569304,-46.765728
93123,21006,1,2023-03-16,-23.570368,-46.763645
93139,19968,1,2023-03-16,-23.60873,-46.734596
93176,19945,1,2023-03-16,-23.451822,-46.579594
93234,19926,1,2023-03-16,-23.649666,-46.6531
93483,19932,1,2023-03-16,-23.595442,-46.72657
93506,21015,1,2023-03-16,-23.673538,-46.78212
93540,21030,1,2023-03-16,-23.671947,-46.69523
93581,20017,1,2023-03-16,-23.764105,-46.687817
96625,20474,2,2023-03-15,-23.472916,-46.539116
96639,20994,2,2023-03-15,-23.434162,-46.561535
96667,20508,2,2023-03-15,-23.454243,-46.70016
97086,20457,2,2023-03-15,-23.546097,-46.649014
97387,20006,2,2023-03-15,-23.4061,-46.478554
97397,19984,2,2023-03-15,-23.384148,-46.324177
97403,19960,2,2023-03-15,-23.423344,-46.71373
97461,19958,2,2023-03-15,-23.60192,-46.676414
97483,19997,2,2023-03-15,-23.700344,-46.771957
97494,20020,2,2023-03-15,-23.613712,-46.59117
97522,19961,2,2023-03-15,-23.64543,-46.659935
97552,20019,2,2023-03-15,-23.672491,-46.73845
97764,19993,2,2023-03-15,-23.574492,-46.733612
97766,20007,2,2023-03-15,-23.60351,-46.68164
97772,19980,2,2023-03-15,-23.439505,-46.51671
97901,19986,2,2023-03-15,-23.460154,-46.685658
98009,20492,2,2023-03-15,-23.612068,-46.944016
98097,20710,2,2023-03-15,-23.641497,-46.786785
98098,20700,2,2023-03-15,-23.68333,-46.757652
98105,20704,2,2023-03-15,-23.669159,-46.513973
98106,20463,2,2023-03-15,-23.60219,-46.786762
98120,20450,2,2023-03-15,-23.65574,-46.78146
98122,20459,2,2023-03-15,-23.170359,-46.864788
98170,20009,2,2023-03-15,-23.682848,-46.743248
98210,19911,2,2023-03-15,-23.590466,-46.767113
98220,20805,2,2023-03-15,-23.672653,-46.76399
98240,20344,2,2023-03-15,-23.755375,-46.65933
98264,20804,2,2023-03-15,-23.565481,-46.74746
98285,20706,2,2023-03-15,-23.557198,-46.624756
98286,20515,2,2023-03-15,-23.57216,-46.803604
98331,20512,2,2023-03-15,-23.605461,-46.909245
98380,19950,2,2023-03-15,-23.517048,-46.428448
98387,20813,2,2023-03-15,-23.680332,-46.793777
98390,20807,2,2023-03-15,-23.733706,-46.77532
98464,21006,2,2023-03-15,-23.570469,-46.763485
98467,21012,2,2023-03-15,-23.699955,-46.85805
98517,19945,2,2023-03-15,-23.45159,-46.57931
98771,19955,2,2023-03-15,-23.609081,-46.724228
98958,19932,2,2023-03-15,-23.595514,-46.726536
98964,19899,2,2023-03-15,-23.487162,-46.806934
99059,19952,2,2023-03-15,-23.770777,-46.69981
99069,20466,2,2023-03-15,-23.51785,-46.549126
101437,40068,2,2023-03-15,-23.472162,-46.895214
101441,40037,2,2023-03-15,-23.56212,-46.67616
101442,39564,2,2023-03-15,-23.351158,-46.761078
101443,40039,2,2023-03-15,-23.635202,-46.793
101867,39978,2,2023-03-15,-23.570175,-46.70545
102095,20801,2,2023-03-14,-23.469385,-46.727383
